Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNMENT   802312,USNMENT00802312,Entomology Types,,,,,Holotype,Proceedings of the United States National Museum. 68 (2611): 81.,,1 Adult Female,Pinned,,,United States,Texas,Tarrant,Arlington,,,,,[Not Stated],3 Nov 1917 (Nov 3 1917),1,"Reviewed, Dec 2012, Reviewed by Michael Gates, USDA SEL.",,,,,,,,1/9/2014 19:37,http://n2t.net/ark:/65665/337ad5f75-6231-4c5d-b958-0222bf0110bd
USNMENT  1547050,USNMENT01547050,Entomology Types,,,,,,,,1 Adult Female,Pinned,,,United States,Florida,Monroe,"Kitching, Sugarloaf Key",,24.6422,-81.5117,,"Peck, S.; Peck, J.","19 Nov 1985 to 26 Feb 1986 (November 19, 1985 - February 26, 1986)",1,"Reviewed, 12 Sep 2021, Submitted by TH Atkinson, SI.",,,,,,,,9/12/2021 23:25,http://n2t.net/ark:/65665/3ea732da9-b67f-43aa-aec5-28aa65b7e539
USNMENT  1547051,USNMENT01547051,Entomology Types,,,,,,,,1 Adult Female,Pinned,,,United States,Florida,Monroe,"Watsons Hammock, Big Pine Key",,24.6922,-81.3728,,"Browne, J. E.","4 Jun 1986 (June 4, 1986)",1,"Reviewed, 12 Sep 2021, Submitted by TH Atkinson, SI.",,,,,,,,9/12/2021 23:35,http://n2t.net/ark:/65665/3ebbb9fd7-ba0b-4e6a-9ae3-6dd5133d460f
USNMENT  1570898,USNMENT01570898,Entomology Types,Insecta,Hymenoptera,Chalcidoidea,A guizoti Giraud,,,,1 Adult,Pinned,,,United States,Indiana,,Lafayetter,,40.4167,-86.8753,,Satterthwaite,([not stated]),1,"Reviewed, 10 Jul 2021, Reviewed by Meg Phillips, SI.",,,,,,,,7/10/2021 22:38,http://n2t.net/ark:/65665/398deb995-b69d-46b1-a266-fdb639a63ed6
,,Inquire Types,Insecta,Psocoptera,Philotarsidae,Aaroniella gressitti,Allotype,,,1 Male,Slide,,,United States,Florida,Pinellas,St. Petersburg,,27.7731,-82.64,,[Not Stated],(9 March),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/13/2015 20:46,http://n2t.net/ark:/65665/333c1bfad-3ec8-45a8-b87e-a4d2f29f014f
,,Entomology Types,Insecta,Coleoptera,Cleridae,"Ababa crinita Casey, 1897",Type,Casey. 1897. Annals of the New York Academy of Sciences. 9: 654.,,1 Adult,Pinned,,,United States,Texas,,Brownsville; Texas,,,,,Wickham,,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:57,http://n2t.net/ark:/65665/3b217880d-cc41-479d-aee6-a74c7f2a2d66
,,Inquire Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",,,,,,,,United States,California,Sonoma,Santa Rosa,,38.4405,-122.714,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:33,http://n2t.net/ark:/65665/3b5e99478-f889-4857-92ef-7dcd8d820c49
,,Inquire Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",,,,,,,,United States,California,Mendocino,Soda Springs; Anderson Valley,,39.0232,-123.315,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:31,http://n2t.net/ark:/65665/3a9f92ed6-79b9-44c6-afda-76178673bdaa
,,Entomology Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",Type,Casey. 1886. Bulletin of the California Academy of Sciences. 6: 209.,,1 Adult,Pinned,,,United States,California,Sonoma,Santa Rosa,,38.4405,-122.714,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:43,http://n2t.net/ark:/65665/36b6fccf2-6d18-434a-acda-874548b5040e
,,Entomology Types,Insecta,Coleoptera,Carabidae,"Abacidus planifer Casey, 1913",Holotype,Lindroth. 1975.,,1 Adult Female,Pinned,,,United States,Indiana,[Not Stated],[Not Stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:52,http://n2t.net/ark:/65665/3e77eb6b2-a3b0-4e95-a7b7-09a042912962
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abagrotis crumbi Franclemont, 1955",Holotype,"Franclemont. 1955. Bulletin of the Brooklyn Entomological Society. 50: 44, figs. 2,3 male genitalia, fig. 1 female genitalia.",,male,Pinned; Slide,,,United States,Washington,Yakima,White Swan,,46.3944,-120.703,,"Crumb, S. E.",5 Jun 1933 (VI-5-33),1,"Reviewed, 2013.",,,,,,,,4/29/2013 14:26,http://n2t.net/ark:/65665/3de96e986-1961-4788-b823-6135172d4733
